export_source_country_2021,"Afghanistan, Islamic Rep. of",Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,"Armenia, Rep. of","Aruba, Kingdom of the Netherlands",Australia,Austria,"Azerbaijan, Rep. of","Bahamas, The","Bahrain, Kingdom of",Bangladesh,Barbados,"Belarus, Rep. of",Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Rep.,Chad,Chile,"China, P.R.: Mainland","China, P.R.: Hong Kong","China, P.R.: Macao",Colombia,"Comoros, Union of the","Congo, Dem. Rep. of the","Congo, Rep. of",Costa Rica,Côte d'Ivoire,"Croatia, Rep. of",Cuba,"Curaçao, Kingdom of the Netherlands",Cyprus,Czech Rep.,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,"Egypt, Arab Rep. of",El Salvador,"Equatorial Guinea, Rep. of","Eritrea, The State of","Estonia, Rep. of","Eswatini, Kingdom of","Ethiopia, The Federal Dem. Rep. of",Falkland Islands (Malvinas),Faroe Islands,"Fiji, Rep. of",Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep. of",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,"Kazakhstan, Rep. of",Kenya,Kiribati,"Korea, Rep. of","Kosovo, Rep. of",Kuwait,Kyrgyz Rep.,Lao People's Dem. Rep.,Latvia,Lebanon,"Lesotho, Kingdom of",Liberia,Libya,Lithuania,Luxembourg,"Madagascar, Rep. of",Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands, Rep. of the","Mauritania, Islamic Rep. of",Mauritius,Mexico,"Micronesia, Federated States of","Moldova, Rep. of",Mongolia,Montenegro,Montserrat,Morocco,"Mozambique, Rep. of",Myanmar,Namibia,"Nauru, Rep. of",Nepal,"Netherlands, The",New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,"Korea, Dem. People's Rep. of","North Macedonia, Republic of",Norway,Oman,Pakistan,"Palau, Rep. of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,"Poland, Rep. of",Portugal,Qatar,Romania,Russian Federation,Rwanda,"San Marino, Rep. of","São Tomé and Príncipe, Dem. Rep. of",Saudi Arabia,Senegal,"Serbia, Rep. of",Seychelles,Sierra Leone,Singapore,"Sint Maarten, Kingdom of the Netherlands",Slovak Rep.,"Slovenia, Rep. of",Solomon Islands,Somalia,South Africa,"South Sudan, Rep. of",Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Rep.,"Tajikistan, Rep. of","Tanzania, United Rep. of",Thailand,"Timor-Leste, Dem. Rep. of",Togo,Tonga,Trinidad and Tobago,Tunisia,"Türkiye, Rep of",Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,"Uzbekistan, Rep. of",Vanuatu,"Venezuela, Rep. Bolivariana de",Vietnam,West Bank and Gaza,"Yemen, Rep. of",Zambia,Zimbabwe
Cyprus,535434,2433247,4282459,14570,628554,0,7159251,1009234,865531,83429,23408403,22373439,10630337,53405,3989014,19483177,656393,116088,13227956,2253107,391327,38404815,226,18822,305367,2455767,1555181,137503,27880157,0,262091,437,1192535,449092,4149735,241933,81818,1798429,60173455,58205395,160748,415762,92602,1835691,39858,64602,1629290,6267927,18689,339149,0,29743804,18718757,18030,141514,106437,2219361,24753391,318064,0,13031,10615396,883,9260023,0,11191,52402,7222672,50484082,26426,77916,316230,980866,116349247,10646887,27275,305523795,0,25959,690,51307,677592,1495,159825,58683,0,88534,3589679,904440,21911375,3942131,10590688,11337252,14710733,129047310,50504806,166115,1579853,8914941,678856,75639287,62698,8284664,1787874,4943284,9561,6358,4013783,310063135,22370,189422505,212933894,8419623,2748,53733,194440,7682071,928140,40212,38805634,289347338,40395,1173603,13510690,0,843284,315602,277735,0,2340767,321427,1032980,124695,0,224170,62793038,134671,2292763,78294,99733,3296425,0,1298500,113901640,3900555,6379259,0,8880537,679906,16705,166019,15667437,22589189,4920227,4825127,27832678,91802643,47790,0,0,25179297,135808,7506219,786911,165639,44908011,177898,13855743,25022425,58736,1271507,3418945,1013096,19790073,2261344,138434,32475,119079,3955017,1299,84778314,13052703,1687902,0,2761371,15148713,194046,81722,0,566803,2397888,3078795,0,0,2050766,11756060,18151526,249882900,88848547,1241850,372417,69507,533640,21784591,0,3253089,528192,1545691
Czech Rep.,1725280,73106701,67944900,0,9999600,2551,159335,64716426,54806098,193436,598599783,10138774189,87889096,392261,24786524,47689619,306507,366366798,4989788443,582484,1725625,102391,852110,5397895,180338371,938395,395593022,2192882,1223402307,7557121,1502846,314532,3336993,4897883,356125026,77670,1247421,110781664,2910497996,392148186,1135374,53108973,16996,5478454,2901716,9389834,31761809,779867723,11718015,335519,103524937,0,2216854711,913783,299658,9141708,39283137,688593363,44129278,56104,0,394466221,38507,11155272,0,2829578,443197,1209044365,10494323902,4107233,2227547,994677,103125149,73632642347,57997715,618024,594950428,797552,24629,2630,12397891,3528166,3672,950523,175549,6928,11469971,7504802472,62743694,859645197,99718733,38879605,134338646,1525504705,1048807633,8784795842,779551,1423273894,38870415,226351151,20287583,0,533354997,38852357,57065405,8028347,415311,425690077,27437728,0,1196528,17312904,870670669,343683247,1319569,2026104,193681311,12486270,12088428,32894220,9728,946332,11320013,761787938,373236,131478562,17994293,18254382,998,546707277,7529467,4576650,2353354,0,7837799,8356022309,4720273,122790495,1960948,892746,62693041,0,147340433,1059993472,43443981,70722943,85,5275612,6602183,9708466,49541778,119543175,15328622255,807803803,120609352,3430169033,4258035294,7166822,3291071,1951,348178536,25307837,935926857,961673,113314,486086641,291711,18317344895,1146185946,60,1155115,561412945,179831,5687889489,14694947,2004,19516,9162,8976924,878634,3828727319,3311741911,3311384,5916333,11040804,186338954,191833,4571225,0,2896069,142877288,2292246117,14368710,0,23829736,1503709485,681553223,8620442274,5259008416,14342462,67092501,34149,3105130,90401347,30052035,3545970,1752986,3375041
Denmark,6625823,28447469,243233037,193974,20338323,71653,1749583,195016776,15268788,692968,1197829639,877868942,19237112,13665203,79814618,141382235,10107189,73782015,2225368232,3703259,2702294,4008226,1434399,8178242,19449670,221658,930123148,2609574,198052239,27640729,2548469,5238381,205741817,9517605,937829296,9797206,4297394,219031809,7053322520,395133075,7095306,159443093,623628,8525813,4909868,40545536,17998333,145769980,20389648,3319666,64353282,1372395922,0,5315485,388887,159158937,30339923,325194876,11376755,3970179,863369,366423875,953625,33701842,19786,661967635,3988609,2758141560,4708261102,3642571,3898927,5481042,13896029,17855239674,53091396,48581571,511135311,624650274,1742846,4983228,18114343,16377811,1873211,5745310,2733438,0,7793762,710067600,791370533,691523573,174013523,125751076,98780930,969820499,390410832,3267264722,6597791,2503502720,69156012,44622517,40848629,2153912,1091795027,9866294,167470103,3643609,3311790,468394121,122624427,238869,26228960,45523894,566461157,99897126,4972800,4024451,330891444,7826317,11205564,55146077,183656927,5819011,9920660,574888651,426988,19816598,6004181,10759361,81551,247638030,4620782,12030892,13260613,9045,4983900,7451040650,8861663,189585583,4888682,4768851,99151512,0,27943849,7533326484,129046543,127511696,58375,120584008,8513612,8419898,77634332,282640750,4565114429,523817320,145355585,443651339,1208277198,3169508,3278074,618393,772524937,33620240,230976855,4580436,3875348,929485520,1072395,357700509,160571434,250195,4952750,330841980,5110071,2768736317,40437369,2474729,1115823,14311475,22165340,10194117,13087923705,1218449755,4016581,2120531,9591930,491615817,957999,7580134,26415,18668639,68507450,1204857559,7956250,3385,19064644,446646079,499379187,6675234530,11685446737,61335027,13619841,10351,10864264,283050376,7610026,54839786,4361576,13164893
Djibouti,23492,0,0,0,0,97257,0,0,32,0,716826,1362,0,0,254184,0,0,0,595158,0,34799,7,0,3104,0,6464,31529118,0,222733,18780,0,50406,0,33019,99069,2021,0,288,3782867,588646,0,0,348,0,2993,0,12648,112432,0,0,45,1473699,654,0,0,0,0,3862375,0,0,5735122,0,0,53372152,0,15952,0,946,3158240,0,10097,1164,0,281436,0,0,1066,19120,0,0,286792,0,0,0,0,0,0,4660,0,7814717,21640652,0,72303,1466,39456,2055,438,31606,5532,0,667188,0,2477359,0,0,0,0,0,256151,0,0,10097,1810,0,17913,3366,1682667,0,179,91,0,0,0,265048,0,9,0,0,0,480,116464,0,527,0,0,122522,552,474074,0,0,184820,0,0,1028,1938090,224659,0,0,0,2994,0,370833,333,42054,22882968,144,0,384,0,0,1475467,0,0,717,52124,152741,0,0,0,0,52523125,1003991,0,69657,145774,0,0,0,0,0,112,30626,0,0,2844,120067,0,0,0,0,18468,147485,0,0,9456,3115598,485042,319971,15377251,0,0,24914,0,1032,0,14967533,23729,0
Dominica,0,0,0,0,37193,40488,624540,8491,501,99027,25251,125,1792,28184,94398,0,1487871,1980,14,36,0,41,0,1159,1073,0,2639,8913,38051,0,0,0,1749,0,31207,0,0,31903,23090,4020,0,7788,0,0,0,169315,14496,0,135,6579,9850,0,56,0,0,108,51282,638884,4374,0,56,0,173,0,0,12282,0,2340,1584541,210,561,0,0,71668,0,0,1069,135,60075,0,4320,0,0,4479742,136315,0,22620,598,0,0,0,0,0,51428,0,158443,1833027,0,1420447,120,444,0,2297,0,382643,0,0,0,112378,0,0,0,4314,2090,2136,0,14647,0,0,0,0,0,0,0,0,15801,17840,77384,21315,53192,6128,31445,16,0,4448,3181,1016,1919,0,0,0,0,428,0,648,1099180,0,6144,0,46825,0,40,2966,45,72369,41090,50313,0,0,0,8163286,0,4604,0,0,0,0,32,761,0,0,0,0,0,11727,1620077,288639,128481,0,199827,12020,0,0,24709,10176,44346,0,0,0,6944104,0,0,0,0,0,4234,25139,41762,2254951,60651,0,0,0,107772,23532,0,0,0
Dominican Rep.,0,7397,27625,0,65752,1832256,9047130,2201158,45838,6921660,13081419,1046801,0,9205792,118,2584193,18325875,39280,102739152,1622795,2512,307061,0,4311082,0,0,20453055,0,990034,0,0,0,411318,0,54392492,41611,0,21325280,244371792,42503436,2800,57428831,0,1104,0,47195820,32816,438396,21688572,13134729,405398,2572851,3306460,0,4087333,0,30030940,1007464,21734013,0,0,2353744,0,0,0,0,0,57960266,57771032,0,0,0,4284,116230649,104496,0,2346840,0,5352895,0,27855861,0,0,25236716,954508919,0,55763331,149082,3733,750595733,21312410,0,32771,4671823,3043861,99451754,85630410,47575403,206790,0,3687,0,23949997,193691,157411,3600,0,921504,94054,0,24348,822898,134972,141185,0,0,15456069,0,0,581860,11598,0,0,26189703,5716,0,5936,0,173396,12,35029,0,0,0,13442,415756705,0,5845127,51514584,0,93260,6985740,13169,1613099,8004,1433291,0,64883468,0,1728996,12176739,20293731,19598189,3025192,2407,512698,15651290,45555,0,396688,979707,0,219061,1910,170,28838346,0,375734,0,0,0,881523,0,81269626,107280,1845483,7114484,2787284,720,9940453,48447291,961459228,0,0,0,13369955,0,33264,0,38450715,195353,7867798,0,0,792,987652,31409596,86885425,6517343825,1848715,12650,0,24809778,14216700,24984,0,0,1410
Ecuador,0,24829060,98383758,1309418,286861,0,77880,246342195,1738071,10425747,15167031,510959,3222482,1962825,1875136,982357,1017675,37756994,240615237,244010,679927,0,0,36899203,540558,0,117728666,305,79281235,1912,0,1133060,58942,2346253,189809987,0,0,1120473065,3721461275,40531994,404,851879854,21645,0,1225374,25410072,98769857,31639166,7386079,874417,3187491,11690500,23967249,0,49071,106466959,0,7534502,25873816,0,0,12292472,0,22996,0,0,0,202715704,381965891,10000,8520,0,39124465,363544494,10321833,0,99692043,0,16471,236728,56418964,0,0,185502,1128301,0,20225546,1487536,451063,658255186,165692502,7100,56113079,7715620,7992109,550107267,24498838,260485433,9681705,21032486,216907,0,206037154,0,24577046,1519730,0,1934371,680623,0,14469,21236509,29205180,18231,325034,0,207013453,636031,0,9908399,0,0,0,168039854,0,1637023,0,12837644,0,56601378,0,0,86689,0,0,684869022,400,36599095,37225168,0,10338622,0,205897,16781894,3165370,500783,0,3969541807,385385,8618314,618644204,24428562,80381455,81837113,15137478,8473479,999795919,0,0,3960,104172516,17922,314282,0,130410,18858338,0,1089798,55693546,0,0,12746549,0,731982496,0,113132,106784,128645,0,100907,72516582,264179332,0,1275446,40005,70383076,0,899497,0,9640054,25272277,218874339,17876,0,0,124322768,149235771,287844497,6353621707,23648741,1631832,0,49365931,43378043,0,46435,0,0
"Egypt, Arab Rep. of",1347105,16008601,575523462,0,19787944,0,59857,309261812,3164472,0,108061395,15750424,3541009,116100,230236003,248355945,215408,11212183,433971980,43623,19145595,0,0,871079,3906474,117308,385828198,1256888,120650092,11542994,12411677,1915261,1643158,65361319,836774210,677278,7194507,14289827,1355110632,44058738,171464,15955326,1938189,14337422,11155375,6686310,140560087,123720928,9539951,0,36043652,65297530,15149906,70053710,242082,20317750,16672567,0,4642053,85264,5865085,6187852,5424714,108010495,0,0,0,35000291,994246091,0,17031505,6464965,20282558,877679137,134139321,19440121,1557500999,0,0,0,20747335,23700339,131550,0,5016117,0,5989622,98066831,2691262,2433400370,119753288,1033431,492405885,70230557,120421070,2738706709,1630561,549334701,691746353,66267870,368495871,0,599398394,0,286659083,0,0,6266070,359719038,2393,15473430,866031283,18448534,703127,105069319,4998267,116975993,4328130,12244451,1749356322,0,32119562,27601208,34281954,0,1539185,182962,1270426,172787,735810845,10503394,0,2980370,0,997497,668017384,0,8139492,115720,7680047,147425952,0,0,13908006,158716680,376655815,0,7787988,31927,2731070,17938116,8580942,190616716,156342786,4337230,249486938,471277144,40510139,51,0,2154611841,71469250,8284881,3514888,6613217,560846692,0,414067817,206604742,0,66150704,125148199,1956699,1753124302,13651663,0,0,26480,777768631,143662,42823808,24498176,319231712,91916,45221305,38200850,83318,35676914,0,3219468,247672090,2836977440,915754,0,85240752,124627559,1276325865,1138381013,2300579672,27159511,2353537,0,8535819,37106019,270760215,336686963,11038320,25723915
El Salvador,37873,3580,234503,0,0,0,147658,327515,0,188667,7529829,828419,0,470546,12955,290099,426132,0,11709388,18558741,0,4195,0,681000,0,0,5163959,0,13560,0,0,0,133047,0,23701785,0,0,9035369,74852130,2305001,0,8267218,0,152129,0,279669127,0,0,5940256,469316,0,270839,877876,0,39791,111578921,8509595,598,0,0,1956,29743,0,39104,0,0,0,1673653,7069721,0,0,0,0,48401122,764,0,2745898,0,128199,0,1148458465,0,0,3976348,17819864,0,1088359979,0,0,2921821,36566,0,0,902322,763309,36560305,21386200,8780617,189423,0,26409,0,82674170,0,152027,0,0,60333,0,0,1550,0,5777,0,0,0,4043966,1144,998002,0,0,0,643,140532821,0,230,5250,0,0,19232,39852,619270,0,0,0,31526340,1743,296928,490077573,435974,0,0,0,3755302,0,187152,0,124353180,0,387625,13665319,49395,217306,1742748,80630,369,423087,0,0,0,4704916,291,0,0,0,1433459,6854,173690,6078,0,0,1045574,0,39042647,59453,17699,490196,74783,0,595501,194253,616499,0,0,0,3728879,0,0,0,6172551,540200,760941,0,0,0,484266,517068,19943503,2639636231,155371,0,0,2597619,1359529,0,0,6695,0
"Equatorial Guinea, Rep. of",0,0,0,0,121069,0,0,0,27,0,830,5788,0,0,0,2664465,0,0,711799,0,4545787,0,0,135,0,0,0,44888098,907,23725,1092,64194,0,28061466,13288182,186564,0,114348125,1130971687,46623,0,0,0,0,940954,0,2616,8476410,0,0,3074,4491,0,0,0,0,0,0,0,0,0,106359,0,0,0,391803,0,3627,120997712,449,5271467,0,0,46965,115861,0,602,0,0,0,0,237,0,0,0,0,240,0,0,805155588,140936649,0,0,236316,0,110796702,0,154582595,0,0,0,0,344883962,6659,824,0,0,0,245415,0,0,0,73385356,0,0,0,0,0,0,0,0,0,2342,0,0,39,0,571,0,194003,391,0,2,0,0,258773202,744,0,0,229722,162276,0,62924,9281410,57598,105177,0,0,0,0,0,1913247,974341,126255064,0,24975,0,0,0,681956,1479,2772,0,0,0,141242178,0,375,0,0,0,1473624,0,753676721,0,0,0,0,0,0,186997,0,0,0,0,0,0,5232,0,18912,9264,49907,0,0,0,423,37860461,1394331,249452732,0,0,0,0,0,0,0,0,0
"Eritrea, The State of",0,560,1378,0,11197,0,0,0,15288,0,9724,0,11037,0,0,3572499,0,566,0,0,0,188,0,902,0,0,5582,157228,0,22128,0,0,0,0,0,0,0,14,372828219,187404,0,50808,2196,0,0,0,1272,1765175,0,0,0,1512,0,1047457,0,0,0,0,0,0,0,769,0,0,0,4995,0,0,179007,1315,0,0,0,43976,0,0,0,0,106,0,0,34031,0,1478892,0,0,0,340,0,605409,19670,0,0,0,143124,1214608,0,54217,0,0,8976,0,101845204,0,613,0,0,0,1807,0,0,0,0,11,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,3948,0,0,740,0,0,22868,4452,63795,0,0,0,0,3155,14015,11424,169738,0,0,0,72,0,0,2261,0,0,0,283688,132,0,0,48482,0,6497,2,187890,943385,0,0,0,0,0,259668,0,2,141852,0,0,0,0,0,138337,122601,0,0,0,0,0,0,0,14292,0,127587,0,0,0,52766,397159,96673,194787,0,0,0,87531,121944,0,3461150,0,94142
"Estonia, Rep. of",83451,1312890,15034421,0,11531055,0,1461,10718153,1668956,131258,86943373,99402859,3469989,30584,2341933,458856,4748,87590128,280401709,1024,174778,0,0,2493906,1344405,27334,41125049,108030,101354007,312551,44955,23730,3016059,243991,161004680,0,0,10801414,230142383,29086303,135523,1223326,0,40267,1800450,2198116,1012051,9868938,2371141,181082,11692872,153034339,679713187,36024,60152,811987,1314769,23282162,1345908,38214,0,0,715842,729210,0,605121,7671,3092554213,417964319,13340,16516,531661,4831519,1335268987,771839,39171024,47608463,110191,0,0,5587496,30754,7259,5853,46092,0,1885832,59385751,50235775,116760428,6498198,4418272,1949239,38595280,51696089,248330721,357202,137351581,4157805,13057773,1486285,0,58674014,827117,2402890,336459,26138,2158044553,984906,0,335878,1046641,1241582286,2094474,29935,246167,13413196,181532,51060,24877075,0,442232,89830,35693459,0,7117589,17383212,79925,0,28165566,8072345,212055,12165793,0,62482,1309895832,285646,10356696,711101,5798,63914415,0,1948944,674379490,6752718,4884493,0,314588,0,1617721,4850112,6083245,672192715,34789687,3031468,51780460,909744052,1009061,75334,0,113056303,752993,14522431,25947,227057,193931278,126160,43134073,30210882,0,84102,12026821,13252,167816448,2295833,0,1198,0,368928,584641,1979637539,224306405,300457,387893,675069,19926806,0,27801372,0,129123,997964,210531020,359016,0,1334184,157967669,72655259,721754106,1974813175,12811656,23531751,0,1036721,11920210,0,387389,242208,38673
"Eswatini, Kingdom of",0,696239,0,0,13276605,0,73731,0,0,187174,83855,1241158,0,0,0,11,0,0,2240118,0,0,0,0,0,945,31496941,2326,0,0,510,18411,0,193,161,492177,0,0,1120,1873,95193,0,414,270824,1144621,14384880,0,166572,0,0,0,25351,294327,33840,0,0,0,35,169892,0,0,1627739,0,0,9563,0,0,0,1349,10528818,3354,45504,31,0,1862187,179679,0,184853,0,62,0,0,62985,23,32,0,0,0,84016,0,857192,150116,0,80392,500471,2866,2250809,2065,1491319,0,0,116353642,0,1986,0,4702,0,0,388,0,4587790,1956,0,17055,0,7375881,3012225,124061,0,0,307,0,0,10650726,10646,0,0,0,3639,0,0,70390242,0,22789039,0,0,8451991,0,33095,0,0,79649244,0,0,3770178,0,733753,2004,24,0,0,1620,303389,8283586,652040,16932,833883,1999003,8845807,0,0,650883,266580,30,197564,66,29314,0,0,0,0,1182761,1405402880,76,28407223,1082,0,1886,7517,0,0,1405,2960335,0,0,39771250,141,0,40,0,0,0,0,0,0,18668446,11900,1604178,40057555,18243738,0,209,0,151,0,804,0,19788390,50667683
"Ethiopia, The Federal Dem. Rep. of",0,0,3003,0,5354082,0,0,524108,0,0,30213412,69243,0,0,416017,3164300,12372,364033,34122506,0,124766,0,0,0,178051,185285,64822,0,2601512,1359109,18708,0,33130,4354846,20556379,10236,143053,443907,313834718,12772762,0,29538,268692,0,488177,0,377320,13463,1632,0,50064,36032,2112124,53540510,0,0,0,1279782,0,2703,0,23995,1237914,0,0,1167,0,2946360,38716237,18144,148284,180266,380,139663217,2431791,0,11519364,0,0,0,126660,10775,0,0,0,0,0,1672411,0,69980898,127601728,396898,500022,1423933,85719733,71983963,0,73304499,30781583,0,24441093,0,65454467,138193,1705172,0,0,212349,775739,368552,1548,885718,635404,0,2240286,123819,12502139,0,3894,0,0,2951491,20120,3004881,0,0,98335,0,0,3658178,237860,8427,96184,0,36800,43160327,0,3741366,0,204926,503123,80705,4382,4122737,1812045,6753258,30746,109740,0,62876,35787,320602,5631788,6446904,7598622,1821821,5530443,901187,0,0,131902374,8313,0,0,490823,21533983,0,130852,1036206,0,2963802,6561754,0,22108157,2154761,0,0,0,894215855,0,7000561,53182119,0,0,1203369,1500636,0,511126,0,0,1231008,26022496,0,0,3082698,6831969,63354929,136773441,335393644,34154,0,0,0,33927204,0,30743218,2392402,673027
Falkland Islands (Malvinas),0,4757394,332515,0,1946,0,0,0,1065,0,5669,0,0,0,0,0,0,0,180331,0,0,0,0,2114,340288,0,2046,15492,2156784,0,0,1637519,0,0,32441,0,0,0,0,0,0,0,0,0,0,188628,3504,0,0,0,0,3230626,174010,0,0,0,0,0,0,0,0,0,40,0,0,236497,143818,0,3796,0,0,0,0,1526112,0,0,0,40026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122074,0,580970,0,1564685,0,0,0,0,44340,0,0,0,0,256,9,0,0,0,23,0,143387,0,143062,0,0,0,0,0,0,4000,0,87735,3012,424591,0,20352532,0,0,4555145,0,0,177734,0,109,0,0,0,0,8396,11340,0,0,0,0,0,0,56916,591,43,0,0,0,1072802,0,0,0,43413,1568304,280135,0,0,663916,0,0,1141773,0,0,4324419,0,241818181,0,0,0,0,0,0,0,32108,0,0,0,267136,1030,0,0,0,108,0,0,0,0,506879,467400,6242124,11534736,0,0,6302,0,0,0,0,3533,0
Faroe Islands,0,0,0,0,492,0,16564,0,303932,0,9312,25012,137075,261087,0,0,0,5260623,5627701,57336,1767012,0,0,0,98228,0,3460,0,184969,0,0,0,0,0,14175480,0,0,316428,125059758,579864,14860,60,0,532031,1040267,0,31307,0,0,0,282072,2104,167935773,0,0,0,55668,1313976,0,0,0,239800,0,0,0,0,0,44853349,20823306,286,0,0,827285,131303521,33963,403322,1978136,7112618,0,0,54492,0,0,0,0,0,0,71,7678728,0,1567250,0,0,95079,16428,35099909,0,18896603,0,310872,3300,0,1481000,0,0,88608,0,6065786,0,0,0,0,1841173,678684,0,0,217598,11616,0,549870,0,0,0,0,0,365963,0,26903,0,0,0,21948,4324803,0,0,20818005,0,448265,0,0,60035749,0,2486,39108726,0,28044,0,247272,0,0,22676964,574363,44831131,124369,0,11207,358961958,0,0,0,50417,0,21276,0,0,123201,0,132,0,0,0,2950,0,83067606,0,0,0,0,0,0,8568954,6805437,0,5306,0,246544,0,233850,0,0,0,14,0,0,0,13593296,0,257767035,122518126,59472,113525,0,0,520296,0,0,0,0
"Fiji, Rep. of",0,0,0,15859527,0,0,0,0,0,0,134577460,352588,7104,0,108351,2034633,0,0,800414,0,4756,0,0,0,0,0,0,0,0,708,0,0,379384,0,6325974,0,0,17158,46199418,4481052,90210,0,0,0,0,0,0,0,0,0,10739,0,579,2391,0,3664725,0,24147,0,0,0,0,28977,0,0,0,0,0,2994951,5926361,0,0,0,581787,480,0,0,959,0,188235,0,0,0,0,0,0,0,27710,0,509216,338136,0,0,5995,19320,13864,4885699,32535641,22491,276,0,25619956,13789910,43932,149976,0,0,0,3072,0,0,0,579,504,0,723,1980512,19402,0,21315,5953541,0,2490,105679,465376,17421,4074,1183,0,0,0,252207,4830,5868406,0,2629907,5901825,67123727,0,0,2874,169677,245,47812,6180,3348,144133,18564,11683187,0,2412,41841,299486,9779,212043,133571,0,0,0,0,412759,0,0,0,723,3401336,0,12776,0,11245754,0,1445168,0,795865,452676,0,0,636,0,0,548,39096,0,0,0,5065927,227357,0,47126875,0,0,924,0,17195155,4716,29643,1568033,13464159,167226094,66312,0,29225191,0,14276316,0,0,0,0
Finland,1362683,4134560,148087628,0,1875840,385857,2669580,114040383,16355649,1083799,830133993,722069816,15284942,30502344,9130035,42598663,364878,104526734,2724686459,811637,1997563,393031,20541,8478606,6412507,585313,605781056,195645,119793735,6888439,1282017,503094,119580091,10335974,975694610,303246,5208905,263607943,4312941349,163001520,2078061,141436636,16175,17916469,12586087,10771416,13694483,48260963,2691886,786688,23721432,516123577,1463126061,910448,2854,21457540,66186441,477199528,12705302,8060,287526,2835415442,436137,9570984,1583,4791062,258557,0,2457767757,1518085,1481254,1769833,19176685,10808834732,53255883,63400852,206843572,3503930,4841924,542000,22138157,1425201,169879,3252360,1382290,45208,3026914,265033739,60677268,655918585,274290121,2569230,7196251,822590098,232767213,3428413198,2442485,1946834877,38479870,120653831,66559018,26218,918254148,2654964,19132298,3740508,1246847,776672520,13713978,13241,2008781,1780075,922467673,43816522,2788696,2216945,166662491,1918494,9455244,33878050,1323793,7903772,1274222,403502929,0,10629280,22988869,2437606,0,139944450,8337168,3429712,49526062,0,2215922,5123676396,4163582,95137930,1172017,490098,39912536,0,2852667,2068073828,19339754,128016545,34375,12001485,1275424,4445298,82697984,212134316,2374733215,229435903,29935806,195683562,4432838098,836463,1952492,4188,354272099,25863496,93676348,3132142,5620121,223395779,2379192,197564529,92805462,90089,211806,448560759,157571,1201585209,11866733,5081122,10197,6133769,3955476,883068,8268386949,1509017262,3674157,921677,36022702,280123269,302922,4289066,23435,1334877,65842929,1154519905,1355503,26218,5099292,282683370,207972997,3219066761,5638636397,336002465,60351762,8115,1463785,285192811,1750576,3187948,17695486,12505097
France,29167368,55818127,4451661259,6058,287162537,1587999,6230832,1159033662,58183106,8424067,3563845682,5391280687,125841167,32668860,134429463,225039600,12365070,216968584,44763394847,3368792,266794525,10789509,724640,37469236,94437684,69640418,4053206092,8547025,1198583687,355846505,10159470,22529413,257592877,634455603,4061564775,54166527,83197011,1441205549,28435713994,5973646380,444129211,736107543,55402728,175321008,297454298,72891740,1635900088,752901502,160378838,10862113,267935942,5949053040,4206737982,82833301,1901243,192233269,149506680,2375682427,41552079,20695125,2504185,529459210,4341211,464641386,0,1752393,18724065,2101879017,0,733451471,475649434,22388415,233894736,83482755616,241273865,304536854,3194912558,6844279,2178357,3977433,65054369,176806743,4545750,9269708,49518847,362305,35545702,4581568080,102441520,9726839774,1093478327,264692905,321191172,5339414671,1989164835,46699228403,27127995,7760208149,258086263,551293627,185714916,183355,5671590941,60848182,1378208274,32665304,14309963,486219139,369030076,384035,89043677,207745732,1009492773,3390756382,411398883,4887962,894578598,26690028,481826707,513277115,12469260,209736093,386869602,3954142031,217510,90917354,39081301,38609287,53003,5490843147,129477139,47474965,23058359,55567,23531062,23675447521,884645932,682429084,10594400,128797898,731144287,0,104924323,1820156345,197114922,538771694,2981086,594126597,3126282,66324277,246543113,875242893,14428314812,6416422580,2179830748,5034799512,7596463837,29720960,33497663,1624957,3996661449,964691251,751001400,52993133,13730013,8613612566,35278693,3542046517,1474598904,398042,13245376,1888851225,1639615,43946876197,102939968,3837152,11456246,22710719,58702237,19115187,6970305184,20144923686,26972975,10584494,186806346,1783912900,200574,240816701,109698,48902108,3650836324,8763870256,37690697,48222,129049705,1426932429,4931892313,33610715344,41515372391,225808741,243252338,5722050,24547018,1469719259,19855599,132641097,30806468,28179402
